"Id","Plate","Row","Column","Clog","Scan.rate","Status.sort","Status.sel","TOF","EXT","Green","Yellow","Red","PH.Ext","PW.Ext","PC.Ext","PH.Green","PW.Green","PCGreen","PH.Yellow","PW.Yellow","PCYellow","PH.Red","PW.Red","PCRed","Time.Stamp","X","filtering","fluo1","fluo2","log.fluo1","log.fluo2","pca.ind.1","pca.ind.2","clust"
"0",-1,0,0,"N",2500,0,40,550,703,7,8,10,65532,549,"n/a",928,547,0,1498,549,"n/a",2821,539,"n/a",1795640,NA,"in",7,10,1.94591014905531,2.30258509299405,-0.63527905558723,0.0212500687176717,1
"1",-1,0,0,"N",2500,0,40,829,626,6,8,10,49784,827,"n/a",1056,818,0,1956,823,"n/a",3363,810,"n/a",1795843,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"2",-1,0,0,"N",2500,0,40,753,699,6,9,12,57468,752,"n/a",684,748,0,1828,752,"n/a",3301,745,"n/a",1795859,NA,"in",6,12,1.79175946922805,2.484906649788,-0.711124763106053,-0.205136792239289,1
"3",-1,0,0,"N",2500,0,40,502,552,5,7,9,57572,501,"n/a",836,498,0,1316,501,"n/a",2618,493,"n/a",1795953,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"4",-1,0,0,"N",2500,0,2,702,701,153,239,38,59184,701,"n/a",18732,701,0,28840,701,"n/a",3321,682,"n/a",1796015,NA,"in",153,38,5.03043792139244,3.63758615972639,2.72425428501137,-0.0791250273065565,2
"5",-1,0,0,"N",2500,0,2,846,763,154,234,35,59980,844,"n/a",22944,844,0,34760,844,"n/a",2075,762,"n/a",1796125,NA,"in",154,35,5.03695260241363,3.55534806148941,2.6999111911541,-0.000302697653738582,2
"6",-1,0,0,"N",2500,0,40,802,637,5,7,10,59532,800,"n/a",684,800,0,1935,800,"n/a",3361,747,"n/a",1796187,NA,"in",5,10,1.6094379124341,2.30258509299405,-0.947924003755452,-0.103115128993632,1
"7",-1,0,0,"N",2500,0,40,842,652,6,7,8,52132,840,"n/a",672,830,0,1122,840,"n/a",2205,808,"n/a",1796328,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"8",-1,0,0,"N",2500,0,40,704,600,6,7,10,43328,703,"n/a",544,703,0,1265,703,"n/a",2346,700,"n/a",1796531,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"9",-1,0,0,"N",2500,0,2,914,651,125,194,28,47428,912,"n/a",14772,912,0,22344,912,"n/a",1724,711,"n/a",1796531,NA,"in",125,28,4.8283137373023,3.3322045101752,2.42356987996747,0.129922876868773,2
"10",-1,0,0,"N",2500,0,40,737,571,6,9,13,45280,736,"n/a",804,731,0,2341,736,"n/a",4045,736,"n/a",1796546,NA,"in",6,13,1.79175946922805,2.56494935746154,-0.681539774861172,-0.279511273899745,1
"11",-1,0,0,"N",2500,0,2,499,533,139,218,35,58864,498,"n/a",17548,498,0,27375,498,"n/a",3879,482,"n/a",1796546,NA,"in",139,35,4.93447393313069,3.55534806148941,2.60468955097348,-0.0381803546472081,2
"12",-1,0,0,"N",2500,0,40,528,610,7,7,9,65532,527,"n/a",1000,522,0,1032,527,"n/a",1436,526,"n/a",1796765,NA,"in",7,9,1.94591014905531,2.19722457733622,-0.674221886331098,0.119149477262042,1
"13",-1,0,0,"N",2500,0,40,634,696,6,6,8,52632,633,"n/a",632,631,0,825,633,"n/a",1245,631,"n/a",1796828,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"14",-1,0,0,"N",2500,0,40,911,702,6,8,10,51100,909,"n/a",640,889,0,1812,904,"n/a",3303,893,"n/a",1796984,NA,"in",6,10,1.79175946922805,2.30258509299405,-0.778513551807923,-0.0357263402917608,1
"15",-1,0,0,"N",2500,0,40,833,819,7,8,11,52404,831,"n/a",704,819,0,1318,831,"n/a",2778,830,"n/a",1797046,NA,"in",7,11,1.94591014905531,2.39789527279837,-0.600050980087472,-0.0673107187162487,1
"16",-1,0,0,"N",2500,0,2,885,648,103,158,24,42524,883,"n/a",10300,883,0,15239,883,"n/a",1590,728,"n/a",1797125,NA,"in",103,24,4.63472898822964,3.17805383034795,2.18671742992789,0.201605539172725,2
"17",-1,0,0,"N",2500,0,40,757,650,5,7,10,50792,755,"n/a",640,755,0,1863,755,"n/a",3639,751,"n/a",1797234,NA,"in",5,10,1.6094379124341,2.30258509299405,-0.947924003755452,-0.103115128993632,1
"18",-1,0,0,"N",2500,0,40,865,576,4,6,8,42172,863,"n/a",440,853,0,1386,858,"n/a",2353,835,"n/a",1797312,NA,"in",4,8,1.38629436111989,2.07944154167984,-1.23774285148902,0.0217492954218875,1
"19",-1,0,0,"N",2500,0,40,860,720,6,7,9,55672,858,"n/a",656,853,0,1662,858,"n/a",3385,819,"n/a",1797328,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"20",-1,0,0,"N",2500,0,40,726,699,6,6,8,52096,725,"n/a",588,724,0,1422,725,"n/a",2621,718,"n/a",1797765,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
