Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	-1	0	0	N	2500	0	40	550	703	7	8	10	65532	549	n/a	928	547	0	1498	549	n/a	2821	539	n/a	1795640	
1	-1	0	0	N	2500	0	40	829	626	6	8	10	49784	827	n/a	1056	818	0	1956	823	n/a	3363	810	n/a	1795843	
2	-1	0	0	N	2500	0	40	753	699	6	9	12	57468	752	n/a	684	748	0	1828	752	n/a	3301	745	n/a	1795859	
3	-1	0	0	N	2500	0	40	502	552	5	7	9	57572	501	n/a	836	498	0	1316	501	n/a	2618	493	n/a	1795953	
4	-1	0	0	N	2500	0	2	702	701	153	239	38	59184	701	n/a	18732	701	0	28840	701	n/a	3321	682	n/a	1796015	
5	-1	0	0	N	2500	0	2	846	763	154	234	35	59980	844	n/a	22944	844	0	34760	844	n/a	2075	762	n/a	1796125	
6	-1	0	0	N	2500	0	40	802	637	5	7	10	59532	800	n/a	684	800	0	1935	800	n/a	3361	747	n/a	1796187	
7	-1	0	0	N	2500	0	40	842	652	6	7	8	52132	840	n/a	672	830	0	1122	840	n/a	2205	808	n/a	1796328	
8	-1	0	0	N	2500	0	40	704	600	6	7	10	43328	703	n/a	544	703	0	1265	703	n/a	2346	700	n/a	1796531	
9	-1	0	0	N	2500	0	2	914	651	125	194	28	47428	912	n/a	14772	912	0	22344	912	n/a	1724	711	n/a	1796531	
10	-1	0	0	N	2500	0	40	737	571	6	9	13	45280	736	n/a	804	731	0	2341	736	n/a	4045	736	n/a	1796546	
11	-1	0	0	N	2500	0	2	499	533	139	218	35	58864	498	n/a	17548	498	0	27375	498	n/a	3879	482	n/a	1796546	
12	-1	0	0	N	2500	0	40	528	610	7	7	9	65532	527	n/a	1000	522	0	1032	527	n/a	1436	526	n/a	1796765	
13	-1	0	0	N	2500	0	40	634	696	6	6	8	52632	633	n/a	632	631	0	825	633	n/a	1245	631	n/a	1796828	
14	-1	0	0	N	2500	0	40	911	702	6	8	10	51100	909	n/a	640	889	0	1812	904	n/a	3303	893	n/a	1796984	
15	-1	0	0	N	2500	0	40	833	819	7	8	11	52404	831	n/a	704	819	0	1318	831	n/a	2778	830	n/a	1797046	
16	-1	0	0	N	2500	0	2	885	648	103	158	24	42524	883	n/a	10300	883	0	15239	883	n/a	1590	728	n/a	1797125	
17	-1	0	0	N	2500	0	40	757	650	5	7	10	50792	755	n/a	640	755	0	1863	755	n/a	3639	751	n/a	1797234	
18	-1	0	0	N	2500	0	40	865	576	4	6	8	42172	863	n/a	440	853	0	1386	858	n/a	2353	835	n/a	1797312	
19	-1	0	0	N	2500	0	40	860	720	6	7	9	55672	858	n/a	656	853	0	1662	858	n/a	3385	819	n/a	1797328	
20	-1	0	0	N	2500	0	40	726	699	6	6	8	52096	725	n/a	588	724	0	1422	725	n/a	2621	718	n/a	1797765	
21	-1	0	0	N	2500	0	2	740	658	133	204	30	54148	739	n/a	16708	739	0	25358	739	n/a	2217	593	n/a	1798156	
22	-1	0	0	N	2500	0	40	925	850	7	8	11	57756	923	n/a	880	905	0	1758	918	n/a	3780	888	n/a	1798234	
23	-1	0	0	N	2500	0	40	549	406	5	8	12	39416	548	n/a	956	548	0	2140	548	n/a	4086	548	n/a	1798546	
24	-1	0	0	N	2500	0	40	667	547	5	9	11	48808	666	n/a	588	666	0	1889	666	n/a	3178	666	n/a	1798625	
25	-1	0	0	N	2500	0	40	576	515	6	7	9	50884	575	n/a	736	575	0	1317	575	n/a	2414	575	n/a	1798640	
26	-1	0	0	N	2500	0	40	829	633	5	7	9	47496	827	n/a	524	824	0	1338	827	n/a	2702	822	n/a	1799140	
27	-1	0	0	N	2500	0	40	682	681	5	7	9	55304	681	n/a	612	676	0	1409	681	n/a	2841	677	n/a	1799265	
28	-1	0	0	N	2500	0	40	814	681	6	8	11	50232	812	n/a	680	798	0	1861	811	n/a	3586	788	n/a	1799375	
