"method","pupae.production","Weekly_goal","Number_of_eggs_to_be_hatch","Number_of_larvae","Number_of_larval_rack","Number_of_adults","Number_of_Male_Release_cage","Larval_development_room_area","Tray_loading_room_area","Larval_pupal_sorting_room_area","Sex_sorting_room_area","Adult_room_area","Cage_loading_room_area","Irradiation_room_area","Storage_area","Offices_area","WC_area","Corridor_area","Mass_rearing_facility_area","MO_room_area","Chilling_room_area","MO_Offices_area","MO_WC_area","MO_Corridor_area","Release_facility_area","Egg_hatching_workload","Tray_hanging_workload","L1_dosage_workload","L4_loading_workload","Larval_feeding_workload","Tray_tilting_workload","L1_sex_sorting_workload","Tray_washing_workload","Irradiation_workload","Insect_packing_for_irradiation_workload","Colony_cage_loading_workload","Colony_cage_bloodfeeding_workload","Egg_collection_workload","Egg_storage_workload","Colony_cage_washing_workload","Larval_diet_prep_workload","Adult_diet_prep_workload","Blood_collection_workload","Blood_doses_prep_workload","Workload_mass_rearing_facility","MO_cage_loading_workload","MO_adult_diet_prep_workload","MO_cage_chilling_workload","MO_adult_collection_workload","MO_adult_packing_for_release_workload","MO_cage_washing_workload","Workload_release_facility","Staff_needed_every_day_mass_rearing","Team_leaders_needed_mass_rearing","Total_rearing_labourers_mass_rearing","Total_team_leaders_mass_rearing","Total_QC_managers_mass_rearing","QC_technicians_needed_mass_rearing","Maintenance_manager_needed_mass_rearing","Total_Maintenance_manager_needed_mass_rearing","Maintenance_officer_needed_mass_rearing","Total_Maintenance_officer_needed_mass_rearing","Total_manager_needed_mass_rearing","Admin_assistant_needed_mass_rearing","Total_Admin_assistant_needed_mass_rearing","Staff_needed_every_day_release_facility","Team_leaders_needed_release_facility","Total_rearing_labourers_release_facility","Total_team_leaders_release_facility","QC_managers_needed_release_facility","Total_QC_managers_release_facility","QC_technicians_needed_release_facility","Total_QC_technicians_needed_release_facility","Maintenance_manager_needed_release_facility","Total_Maintenance_manager_needed_release_facility","Maintenance_officer_needed_release_facility","Total_Maintenance_officer_needed_release_facility","Manager_needed_release_facility","Total_manager_needed_release_facility","Admin_assistant_needed_release_facility","Total_Admin_assistant_needed_release_facility","Total_rearing_labourers_both_facilities","Total_team_leaders_both_facilities","Total_QC_managers_both_facilities","Total_QC_technicians_both_facilities","Total_Maintenance_manager_both_facilities","Total_Maintenance_officer_both_facilities","Total_manager_both_facilities","Total_Admin_assistant_both_facilities","Total_staff_both_facilities","Cost_office_labs_wc_irradiation_corridor","Cost_rearing_rooms","Cost_storage_warehouse","Construction_cost_mass_rearing_facility","Yearly_depreciation_mass_rearing_facility","Cost__office_labs_wc_irradiation_corridor_MO","Cost_chilling_room_MO","Cost_rearing_rooms_MO","Cost_storage_warehouse_MO","Construction_cost_release_facility","Yearly_depreciation_release_facility","Larval_trays_total_cost","Racks_for_larval_trays_total_cost","Cages_for_Colonies_total_cost","Irradiator_total_cost","L1_Sex_sorter_total_cost","Pupal_sex_sorter_total_cost","L1_counter_total_cost","Larval_diet_mixer_total_cost","Adult_diet_mixer_total_cost","Larval_diet_feeder_total_cost","Blood_feeders_total_cost","Tray_washing_machine_in_mass_rearing_facility_total_cost","Cage_washing_machine_in_mass_rearing_facility_total_cost","Equipment_for_basic_QC_lab_total_cost","Workshop_equipment_total_cost","Blood_storage_total_cost","Mass_rearing_facility_equipment_cost","Mass_rearing_facility_equipment_yearly_depreciation","Cages_for_Release_Males_total_cost","Cage_washing_machine_in_release_facility_total_cost","Equipment_for_basic_QC_lab_MO_total_cost","Workshop_equipment_MO_total_cost","Release_facility_equipment_cost","Release_facility_equipment_yearly_depreciation","Total_equipment_cost","Total_equipment_yearly_depreciation","Beef_liver","Tuna","Brewer_yeast","BSF_yeast","Comp5","Comp6","Water_including_the_initial_load_of_trays_yearly_cost","Sugar_for_adult_colony_yearly_cost","Blood_for_adult_diet_yearly_cost","Total_diet_yearly_cost","Radiation_dosimeters_yearly_cost","Consumables_without_inventoring_yearly_cost","Total_other_consumables_yearly_cost","Yearly_cost_of_diet_and_consumables","Water_for_larval_trays_initial_loading_daily","Water_for_larval_trays_initial_loading_weekly","Water_for_tray_washing_daily","Water_for_tray_washing_weekly","Water_for_colony_cage_washing_daily","Water_for_colony_cage_washing_weekly","Water_for_MO_cage_washing_daily","Water_for_MO_cage_washing_weekly","Water_for_room_cleaning_daily","Water_for_room_cleaning_weekly","Total_water_required_daily","Total_water_required_weekly"
"Size.manual",5,5.26315789473684,7958140.45062749,32976544.4922877,42,4840000,297.619166666667,97.92,13.44,9.792,9.792,139.48,5.28,15,36,30,30,48.6704,535.3744,41.796,8.0357175,15,18,15.78317175,173.61488925,2,3.15,1.75,0,10.5,7,0,1.52669187464295,0.51,0,2.4,4.05,4.05,0,5,1.35,0.1,0.714285714285714,1.8,126.666898945092,7.44047916666667,0.4,7.44047916666667,11.16071875,7.44047916666667,6.25,40.13215625,17,2,29,3,1,3,1,1,1,1,1,1,1,6,1,11,2,0,0,1,1,0,0,1,1,0,0,0,0,40,5,1,4,1,2,1,1,55,230505.6,366844.8,56000,653350.4,32667.52,125674.757625,16071.435,86155.2,10000,237901.392625,11895.06963125,190560,357000,110950,250000,0,36000,10000,3000,2000,36000,16000,20000,20000,12000,25000,5000,1093510,132888.333333333,32508,40000,6000,10000,88508,17660.3333333333,1182018,150548.666666667,0,1694.4887465547,6172.78043387785,14403.154345715,0,0,4044.66607355679,3284.91041666667,1120.392,30720.392016371,1638,6471.6784032742,8109.6784032742,38830.0704196452,1832.03024957154,12824.2117470008,152.669187464295,1068.68431225006,24,168,223.214375,1562.500625,1058.25904593323,99.792,3703.90666076629,25927.346625364
"Size.manual",10,10.5263157894737,15916280.901255,65953088.9845753,78,9276666.66666667,595.238333333333,180.48,24.96,18.048,18.048,267.52,10.12,15,69,30,30,76.3176,839.4936,83.592,16.071435,15,18,20.7663435,228.4297785,2,5.85,3.25,0,19.5,13,0,3.05338374928589,0.85,0,4.6,8.1,8.1,0,9.58333333333333,2.55,0.2,0.714285714285714,3.5,246.382845509232,14.8809583333333,0.7,14.8809583333333,22.3214375,14.8809583333333,12.4166666666667,80.0809791666667,33,4,57,6,1,6,1,1,2,2,1,3,3,11,2,19,3,1,1,0,0,1,1,0,0,1,1,0,0,76,9,2,6,2,2,2,3,102,271976.4,659011.2,89000,1019987.6,50999.38,133149.51525,32142.87,136310.4,10000,311602.78525,15580.1392625,381120,658000,212800,250000,0,68000,18000,6000,2000,66000,28000,20000,40000,12000,25000,5000,1791920,222066.666666667,65016,60000,6000,10000,141016,29120.6666666667,1932936,251187.333333333,0,3388.97749310941,12345.5608677557,28806.30869143,0,0,8084.45833271358,6521.77283333333,2240.784,61387.862218342,2730,12823.5724436684,15553.5724436684,76941.4346620104,3664.06049914307,25648.4234940015,305.338374928589,2137.36862450013,46,322,446.42875,3125.00125,2115.24289186645,191.268,7403.35012153258,51823.4508507281
"Size.manual",20,21.0526315789474,31832561.80251,131906177.969151,156,18150000,1190.47627083333,360.96,49.92,36.096,36.096,522.72,19.8,15,132,30,30,133.2592,1465.8512,167.184,32.1428593125,15,18,30.73268593125,338.05954524375,2,11.7,6.5,0,39,26,0,6.10676749857179,1.53,0,9,16.2,16.2,0,18.75,5.1,0.3,0.714285714285714,6.9,489.064738637512,29.7619067708333,1.4,29.7619067708333,44.64286015625,29.7619067708333,24.8333333333333,160.161913802083,66,7,113,11,1,12,1,1,5,5,1,6,6,22,3,38,5,1,1,2,2,1,1,1,1,1,1,1,1,151,16,2,14,2,6,2,7,200,357388.8,1266710.4,152000,1776099.2,88804.96,148099.028896875,64285.718625,236620.8,10000,459005.547521875,22950.2773760937,762160,1316000,415800,250000,0,132000,34000,9000,4000,126000,50000,40000,80000,12000,25000,5000,3260960,408606.666666667,130032,1e+05,6000,10000,246032,52041.3333333333,3506992,460648,0,6777.95498621882,24691.1217355114,57612.6173828599,0,0,16164.0422610059,12995.4940645833,4481.568,122722.798430179,4914,25527.3596860359,30441.3596860359,153164.158116215,7328.12099828615,51296.846988003,610.676749857179,4274.73724900025,90,630,892.857203125,6250.000421875,4229.2104293579,374.22,14802.2365027527,103615.655519269
"Size.manual",50,52.6315789473684,79581404.5062749,329765444.922877,384,44770000,2976.19047916667,885.12,122.88,88.512,88.512,1289.64,48.84,15,321,30,30,301.9504,3321.4544,417.96,80.3571429375,15,18,60.63171429375,666.94885723125,2,28.8,16,0,96,64,0,15.2669187464295,3.57,0,22.2,40.5,40.5,0,46.25,12.6,0.7,0.714285714285714,17.1,1213.86041802235,74.4047619791667,3.4,74.4047619791667,111.60714296875,74.4047619791667,62.0833333333333,400.304762239583,162,17,276,26,1,30,1,1,14,14,1,16,16,54,6,92,9,1,1,6,6,1,1,4,4,1,1,4,4,368,35,2,36,2,18,2,20,483,610425.6,3064204.8,341000,4015630.4,200781.52,192947.571440625,160714.285875,537552,10000,901213.857315625,45060.6928657813,1905360,3227000,1025850,250000,0,326000,80000,21000,8000,309000,120000,60000,160000,12000,25000,5000,7534210,950178.333333333,325080,220000,6000,10000,561080,120803.333333333,8095290,1070981.66666667,0,16944.887465547,61727.8043387785,144031.54345715,0,0,40402.7946359042,32416.6613604167,11203.92,306727.611257796,11466,63638.7222515593,75104.7222515593,381832.333509355,18320.3024957154,128242.117470008,1526.69187464295,10686.8431225006,222,1554,2232.142859375,15625.000015625,10571.1131962073,923.076,36998.8961867254,258992.273307078
"Size.manual",100,105.263157894737,159162809.01255,659530889.845753,768,89136666.6666667,5952.38095833333,1770.24,245.76,177.024,177.024,2567.4,97.24,15,642,30,30,585.1688,6436.8568,835.812,160.714285875,15,18,110.4526285875,1214.9789144625,2,57.6,32,0,192,128,0,30.533837492859,6.97,0,44.2,81,81,0,92.0833333333333,25.05,1.4,0.714285714285714,34.2,2424.06988366375,148.809523958333,6.7,148.809523958333,223.2142859375,148.809523958333,124.083333333333,800.426191145833,324,33,551,50,1,60,1,1,29,29,1,33,33,107,11,182,17,1,1,12,12,1,1,9,9,1,1,8,8,733,67,2,72,2,38,2,41,957,1035253.2,6077625.6,662000,7774878.8,388743.94,267678.94288125,321428.57175,1038974.4,10000,1638081.91463125,81904.0957315625,3810640,6454000,2042250,250000,0,650000,156000,42000,14000,615000,236000,120000,320000,12000,25000,5000,14751890,1865931.66666667,650076,420000,6000,10000,1086076,235385.666666667,15837966,2101317.33333333,0,33889.7749310941,123455.608677557,288063.0869143,0,0,80800.7154574083,64785.2747208333,22407.84,613402.300701192,22386,127157.660140238,149543.660140238,762945.960841431,36640.6049914307,256484.234940015,3053.3837492859,21373.6862450013,442,3094,4464.28571875,31250.00003125,21140.9511924145,1837.836,73993.3291734509,517953.304214156
"Size.auto",5,5.26315789473684,8437998.54727823,34964956.4802842,42,4840000,297.619166666667,97.92,13.44,9.792,9.792,139.48,5.28,15,39,30,30,48.9704,538.6744,41.796,8.0357175,15,18,15.78317175,173.61488925,2,3.15,1.75,0,10.5,7,0,1.61874798519834,0.51,0,2.4,4.3,4.3,0,5,1.35,0.1,0.714285714285714,1.9,132.22895974288,7.44047916666667,0.4,7.44047916666667,11.16071875,7.44047916666667,6.25,40.13215625,18,2,31,3,1,3,1,1,1,1,1,1,1,6,1,11,2,0,0,1,1,0,0,1,1,0,0,0,0,42,5,1,4,1,2,1,1,57,230955.6,366844.8,59000,656800.4,32840.02,125674.757625,16071.435,86155.2,10000,237901.392625,11895.06963125,202080,357000,110950,250000,0,760000,12000,3000,2000,36000,16000,20000,20000,12000,25000,5000,1831030,207608.333333333,32508,40000,6000,10000,88508,17660.3333333333,1919538,225268.666666667,0,1796.66263375391,6544.98530867495,15271.6323869082,0,0,4258.27423607876,3284.91041666667,1189.552,32346.0169820825,1638,6796.8033964165,8434.8033964165,40780.820378499,1942.49758223801,13597.4830756661,161.874798519834,1133.12358963884,24,168,223.214375,1562.500625,1114.14815177362,99.792,3899.51853120766,27296.6297184536
"Size.auto",10,10.5263157894737,16875997.0945565,69929912.9605683,84,9680000,595.238333333333,193.92,26.88,19.392,19.392,278.96,10.56,15,72,30,30,79.6104,875.7144,83.592,16.071435,15,18,20.7663435,228.4297785,2,6.3,3.5,0,21,14,0,3.23749597039668,0.85,0,4.8,8.6,8.6,0,10,2.7,0.2,0.714285714285714,3.7,261.473633771475,14.8809583333333,0.7,14.8809583333333,22.3214375,14.8809583333333,12.4166666666667,80.0809791666667,35,4,60,6,1,6,1,1,2,2,1,3,3,11,2,19,3,1,1,0,0,1,1,0,0,1,1,0,0,79,9,2,6,2,2,2,3,105,276915.6,694924.8,92000,1063840.4,53192.02,133149.51525,32142.87,136310.4,10000,311602.78525,15580.1392625,404080,707000,221900,250000,0,1440000,20000,6000,2000,69000,28000,20000,40000,12000,25000,5000,3249980,369903.333333333,65016,60000,6000,10000,141016,29120.6666666667,3390996,399024,0,3593.32526750782,13089.9706173499,30543.2647738164,0,0,8516.54847215753,6569.82083333333,2379.104,64692.033964165,2730,13484.406792833,16214.406792833,80906.440756998,3884.99516447602,27194.9661513321,323.749597039668,2266.24717927768,48,336,446.42875,3125.00125,2228.29630354723,199.584,7799.03706241532,54593.2594369072
"Size.auto",20,21.0526315789474,33751994.1891129,139859825.921137,162,18956666.6666667,1190.47627083333,374.4,51.84,37.44,37.44,546.04,20.68,15,138,30,30,138.084,1518.924,167.184,32.1428593125,15,18,30.73268593125,338.05954524375,2,12.15,6.75,0,40.5,27,0,6.47499194079336,1.53,0,9.4,17.2,17.2,0,19.5833333333333,5.4,0.3,0.714285714285714,7.3,516.046315161998,29.7619067708333,1.4,29.7619067708333,44.64286015625,29.7619067708333,24.8333333333333,160.161913802083,69,7,118,11,1,12,1,1,5,5,1,7,7,22,3,38,5,1,1,2,2,1,1,1,1,1,1,1,1,156,16,2,14,2,6,2,8,206,364626,1317408,158000,1840034,92001.7,148099.028896875,64285.718625,236620.8,10000,459005.547521875,22950.2773760937,808080,1365000,434350,250000,0,2800000,36000,9000,4000,135000,52000,40000,80000,12000,25000,5000,6055430,692415,130032,1e+05,6000,10000,246032,52041.3333333333,6301462,744456.333333333,0,7186.65053501563,26179.9412346998,61086.5295476329,0,0,17028.2225398938,13091.5900645833,4758.208,129331.141921825,4914,26849.0283843651,31763.0283843651,161094.170306191,7769.99032895204,54389.9323026643,647.499194079336,4532.49435855536,94,658,892.857203125,6250.000421875,4455.31725271947,390.852,15593.6103845181,109155.272691627
"Size.auto",50,52.6315789473684,84379985.4727823,349649564.802842,408,47593333.3333333,2976.19047916667,940.8,130.56,94.08,94.08,1371.04,51.92,15,339,30,30,319.648,3516.128,417.96,80.3571429375,15,18,60.63171429375,666.94885723125,2,30.6,17,0,102,68,0,16.1874798519834,3.57,0,23.6,42.95,42.95,0,49.1666666666667,13.35,0.8,0.714285714285714,18.2,1287.4476926669,74.4047619791667,3.4,74.4047619791667,111.60714296875,74.4047619791667,62.0833333333333,400.304762239583,172,18,293,27,1,31,1,1,15,15,1,17,17,54,6,92,9,1,1,6,6,1,1,4,4,1,1,4,4,385,36,2,37,2,19,2,21,504,636972,3254976,359000,4250948,212547.4,192947.571440625,160714.285875,537552,10000,901213.857315625,45060.6928657813,2020240,3430000,1090600,250000,0,6920000,84000,24000,8000,327000,128000,60000,180000,12000,25000,5000,14563840,1665433.33333333,325080,220000,6000,10000,561080,120803.333333333,15124920,1786236.66666667,0,17966.6263375391,65449.8530867496,152716.323869082,0,0,42572.9929619239,32752.9973604167,11881.688,323340.481615712,11466,66961.2963231423,78427.2963231423,401767.777938854,19424.9758223801,135974.830756661,1618.74798519834,11331.2358963884,236,1652,2232.142859375,15625.000015625,11138.9306546112,981.288,38986.2572911391,272903.801037974
"Size.auto",100,105.263157894737,168759970.945565,699299129.605683,810,94783333.3333333,5952.38095833333,1866.24,259.2,186.624,186.624,2729.76,103.4,15,675,30,30,618.1848,6800.0328,835.812,160.714285875,15,18,110.4526285875,1214.9789144625,2,60.75,33.75,0,202.5,135,0,32.3749597039668,6.97,0,47,85.9,85.9,0,97.9166666666667,26.55,1.4,0.714285714285714,36.3,2567.74443295285,148.809523958333,6.7,148.809523958333,223.2142859375,148.809523958333,124.083333333333,800.426191145833,343,35,584,53,1,63,1,1,31,31,1,35,35,107,11,182,17,1,1,12,12,1,1,9,9,1,1,8,8,766,70,2,75,2,40,2,43,1000,1084777.2,6434217.6,695000,8213994.8,410699.74,267678.94288125,321428.57175,1038974.4,10000,1638081.91463125,81904.0957315625,4040400,6804000,2171400,250000,0,13760000,164000,45000,14000,651000,252000,120000,340000,12000,25000,5000,28653800,3279073.33333333,650076,420000,6000,10000,1086076,235385.666666667,29739876,3514459,0,35933.2526750782,130899.706173499,305432.647738165,0,0,85141.1121094478,65457.9467208333,23763.376,646628.041417023,22386,133802.808283405,156188.808283405,802816.849700427,38849.9516447602,271949.661513321,3237.49597039668,22662.4717927768,470,3290,4464.28571875,31250.00003125,22276.5861092223,1954.26,77968.0513822782,545776.359675947
