Line;Well;Eggs
BiA (WT);A1;3
BiA (WT);A2;100
BiA (WT);A3;1
BiA (WT);A4;0
BiA (WT);A5;97
BiA (WT);A6;17
BiA (WT);B1;1
BiA (WT);B2;131
BiA (WT);B3;67
BiA (WT);B4;2
BiA (WT);B5;75
BiA (WT);B6;3
BiA (WT);C1;7
BiA (WT);C2;117
BiA (WT);C3;0
BiA (WT);C4;0
BiA (WT);C5;19
BiA (WT);C6;100
BiA (WT);D1;38
BiA (WT);D2;61
BiA (WT);D3;0
BiA (WT);D4;0
BiA (WT);D6;42
Aal-CS;A1;12
Aal-CS;A2;0
Aal-CS;A3;0
Aal-CS;A4;1
Aal-CS;A5;32
Aal-CS;B1;23
Aal-CS;B2;133
Aal-CS;B3;0
Aal-CS;B4;0
Aal-CS;B5;106
Aal-CS;B6;0
Aal-CS;C1;0
Aal-CS;C2;104
Aal-CS;C3;77
Aal-CS;C4;7
Aal-CS;C5;65
Aal-CS;C6;84
Aal-CS;D1;4
Aal-CS;D3;27
Aal-CS;D4;33
Aal-CS;D5;0
Aal-CS;D6;87
Aal-M;A1;58
Aal-M;A2;74
Aal-M;A3;128
Aal-M;A4;49
Aal-M;A5;56
Aal-M;A6;64
Aal-M;B1;142
Aal-M;B2;0
Aal-M;B3;0
Aal-M;B4;127
Aal-M;B5;1
Aal-M;B6;109
Aal-M;C1;9
Aal-M;C2;28
Aal-M;C3;103
Aal-M;C4;136
Aal-M;C5;0
Aal-M;C6;108
Aal-M;D1;120
Aal-m;A1;0
Aal-m;A2;0
Aal-m;A3;0
Aal-m;A4;0
Aal-m;A5;0
Aal-m;A6;120
Aal-m;B1;62
Aal-m;B2;66
Aal-m;B3;29
Aal-m;B4;44
Aal-m;B5;0
Aal-m;B6;116
Aal-m;C1;0
Aal-m;C2;44
Aal-m;C3;88
Aal-m;C4;6
Aal-m;C5;27
Aal-m;C6;0
Aal-m;D1;106
Aal-m;D2;0
Aal-m;D3;113
Aal-m;D4;0
Aal-m;D5;0
Aal-m;D6;137
