Replicate;Line;larvae;adults;larval_deaths;male_adults;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13;D14;adult_deaths
1;BiA (WT);200;103;97;56;2;1;0;1;0;0;0;0;0;0;0;0;0;0;4
2;BiA (WT);200;141;59;96;1;1;0;0;0;0;0;0;0;0;0;0;1;0;3
3;BiA (WT);200;129;71;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;BiA (WT);200;130;70;76;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2
1;Aal-M;100;88;12;88;1;1;0;2;0;0;0;0;0;0;0;1;0;0;5
2;Aal-M;100;79;21;79;1;1;0;0;0;1;0;0;0;1;0;0;0;0;4
3;Aal-M;100;80;20;80;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3
4;Aal-M;100;77;23;73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;Aal-m;100;82;18;82;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
2;Aal-m;100;83;17;83;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2
3;Aal-m;100;76;24;76;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2
4;Aal-m;100;77;23;77;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
1;Aal-CS;100;71;29;71;0;0;0;0;1;0;1;0;0;0;0;0;2;0;4
2;Aal-CS;100;73;27;73;0;0;0;2;0;0;0;0;0;0;1;0;1;0;4
3;Aal-CS;100;61;39;61;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
4;Aal-CS;100;69;31;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
