Replicate	Line	larvae	adults	larval_deaths	male_adults	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14
1	Aaeg-M	100	87	13	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Aaeg-M	100	82	18	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Aaeg-M	100	93	7	93	1	0	0	0	1	0	0	0	0	0	0	0	0	0
4	Aaeg-M	100	73	27	73	0	0	0	0	0	0	0	1	0	0	0	0	0	1
1	Bra-(WT)	200	185	15	82	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	Bra-(WT)	200	197	3	97	0	0	0	0	2	0	0	0	0	0	0	0	0	0
3	Bra-(WT)	200	177	23	90	0	1	0	0	0	0	0	0	0	1	0	0	0	0
4	Bra-(WT)	200	197	3	102	0	1	0	0	0	0	0	0	0	1	0	0	0	0
5	Bra-(WT)	NA	NA	NA	105	2	0	0	0	0	1	1	0	0	0	0	1	0	0
6	Bra-(WT)	NA	NA	NA	105	3	0	0	0	2	0	0	0	0	0	0	0	0	0
7	Bra-(WT)	NA	NA	NA	105	0	0	0	0	0	0	0	0	0	0	0	0	1	0
8	Bra-(WT)	NA	NA	NA	105	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	Aaeg-M	NA	NA	NA	105	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Aaeg-M	NA	NA	NA	105	2	1	0	0	0	0	0	0	0	0	0	0	0	0
7	Aaeg-M	NA	NA	NA	105	1	0	0	0	0	0	2	0	0	0	1	0	0	0
8	Aaeg-M	NA	NA	NA	105	0	0	0	0	1	0	0	2	0	0	0	0	0	0
1	Aaeg-CS	NA	NA	NA	105	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2	Aaeg-CS	NA	NA	NA	105	0	1	0	0	0	0	0	0	0	0	0	0	0	1
3	Aaeg-CS	NA	NA	NA	105	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	Aaeg-CS	NA	NA	NA	105	0	1	0	0	0	0	0	0	0	0	0	0	0	0
